
This product is licensed by WSO2 LLC. under Apache License 2.0. The license
can be downloaded from the following locations:
	http://www.apache.org/licenses/LICENSE-2.0.html
	http://www.apache.org/licenses/LICENSE-2.0.txt

This product also contains software under different licenses. This table below
all the contained libraries (jar files) and the license under which they are 
provided to you.

At the bottom of this file is a table that shows what each license indicated
below is and where the actual text of the license can be found.


Name                                                                                                Type           License             
org.wso2.micro.integrator.initializer_4.6.0.alpha.jar                                               bundle         apache2
org.eclipse.ecf.provider.filetransfer.httpclient_4.0.200.v20120319-0616.jar                         bundle         epl1
org.eclipse.core.runtime_3.31.0.v20240215-1631.jar                                                  bundle         epl1
xmlsec_1.5.6.wso2v2.jar                                                                             bundle         apache2
org.wso2.micro.integrator.mediation.ntask_4.6.0.alpha.jar                                           bundle         apache2
org.wso2.orbit.javax.activation.activation_1.1.1.wso2v3.jar                                         bundle         apache2
org.eclipse.equinox.http.service.api_1.2.2.v20231218-2126.jar                                       bundle         epl2
com.fasterxml.jackson.core.jackson-annotations_2.21.0.jar                                           bundle         apache2
commons-net_3.9.0.wso2v1.jar                                                                        bundle         apache2
bcutil_1.83.0.jar                                                                                   bundle         bouncy
bsf-all_3.0.0.wso2v6.jar                                                                            bundle         apache2
synapse-core_4.1.0.wso2v18.jar                                                                      bundle         apache2
org.wso2.carbon.databridge.commons.thrift_5.2.66.jar                                                bundle         apache2
org.wso2.micro.integrator.logging.updater_4.6.0.alpha.jar                                           bundle         apache2
httpclient_4.5.13.wso2v1.jar                                                                        bundle         apache2
javax.el-api_2.2.5.jar                                                                              bundle         cddl1
org.wso2.micro.integrator.dataservices.sql.driver_4.6.0.alpha.jar                                   bundle         apache2
libthrift_0.16.0.wso2v1.jar                                                                         bundle         apache2
org.osgi.service.permissionadmin_1.2.1.202007221806.jar                                             bundle         apache2
org.apache.aries.blueprint_1.1.0.jar                                                                bundle         apache2
org.wso2.carbon.transports.sap_4.7.37.jar                                                           bundle         apache2
org.eclipse.osgi.compatibility.state_1.0.200.v20160504-1419.jar                                     bundle         epl1
org.wso2.micro.integrator.mediator.fastXSLT_4.6.0.alpha.jar                                         bundle         apache2
com.fasterxml.jackson.core.jackson-core_2.21.0.jar                                                  bundle         apache2
org.eclipse.equinox.p2.director.app_1.3.300.v20240212-0924.jar                                      bundle         epl2
org.wso2.micro.integrator.ndatasource.rdbms_4.6.0.alpha.jar                                         bundle         apache2
commons-pool_1.5.6.wso2v1.jar                                                                       bundle         apache2
okhttp_4.12.0.wso2v4.jar                                                                            bundle         apache2
odata-server_4.10.0.wso2v1.jar                                                                      bundle         apache2
httpclient_4.5.14.wso2v1.jar                                                                        bundle         apache2
opencensus_0.31.1.wso2v3.jar                                                                        bundle         apache2
org.wso2.orbit.com.sun.mail.jakarta.mail_2.0.2.wso2v1.jar                                           bundle         apache2
jakarta.mail-2.0.2.jar                                                                              jarinbundle    epl2 + edl1
httpcore_4.4.16.wso2v1.jar                                                                          bundle         apache2
woden_1.0.0.M9-wso2v1.jar                                                                           bundle         apache2
json_3.0.0.wso2v7.jar                                                                               bundle         apache2
org.eclipse.equinox.p2.repository.tools_2.4.300.v20240207-1113.jar                                  bundle         epl2
synapse-fix-transport_4.1.0.wso2v18.jar                                                             bundle         apache2
httpcore-nio_4.4.16.wso2v6.jar                                                                      bundle         apache2
org.eclipse.ecf.filetransfer_5.1.103.v20230705-0614.jar                                             bundle         epl1
org.eclipse.ecf_3.11.0.v20230507-1923.jar                                                           bundle         epl1
org.wso2.micro.integrator.ndatasource.capp.deployer_4.6.0.alpha.jar                                 bundle         apache2
org.eclipse.equinox.p2.touchpoint.natives_1.5.200.v20240201-0843.jar                                bundle         epl2
org.eclipse.equinox.app_1.7.0.v20240213-1427.jar                                                    bundle         epl2
org.ops4j.pax.logging.pax-logging-log4j2_2.3.2.wso2v1.jar                                           bundle         apache2
org.objenesis_2.6.0.jar                                                                             bundle         apache2
org.wso2.micro.integrator.dataservices.core_4.6.0.alpha.jar                                         bundle         apache2
org.eclipse.equinox.preferences_3.11.0.v20240210-0844.jar                                           bundle         epl2
tomcat-el-api-jdk21_11.0.18.wso2v1.jar                                                              bundle         apache2
org.wso2.micro.integrator.ndatasource.core_4.6.0.alpha.jar                                          bundle         apache2
org.eclipse.equinox.p2.garbagecollector_1.3.200.v20240201-0843.jar                                  bundle         epl2
org.osgi.service.coordinator_1.0.2.201505202024.jar                                                 bundle         apache2
com.google.guava.failureaccess_1.0.3.jar                                                            bundle         apache2
poi_5.5.1.wso2v1.jar                                                                                bundle         apache2
org.eclipse.equinox.p2.transport.ecf_1.4.200.v20240203-1359.jar                                     bundle         epl2
org.wso2.orbit.com.sun.activation.jakarta.activation_2.0.1.wso2v1.jar                               bundle         apache2
jakarta.activation-2.0.1.jar                                                                        jarinbundle    edl1
javax.cache.wso2_4.6.0.alpha.jar                                                                    bundle         apache2
org.wso2.micro.integrator.dataservices.odata.endpoint_4.6.0.alpha.jar                               bundle         apache2
smbj_0.14.0.wso2v2.jar                                                                              bundle         apache2
tomcat-servlet-api-jdk21_11.0.18.wso2v1.jar                                                         bundle         apache2
org.wso2.micro.integrator.mediator.dataservice_4.6.0.alpha.jar                                      bundle         apache2
poi-ooxml_5.5.1.wso2v1.jar                                                                          bundle         apache2
